location,rmse,mase,mae
Mexico,1338.7842332603916,0.8869402011187318,941.9521262759254
Sweden,529.7881149760939,1.581918286160347,413.0735895520165
Argentina,624.3702658562937,2.6389452347319873,464.32563227698915
India,26403.21124234814,5.607249932950453,20602.54063778832
Peru,661.1641870032222,0.8766717689033938,459.7822694324312
Italy,8062.767516904608,1.0637860989465913,5434.001015436082
Malaysia,2376.943060124435,0.5845441427945945,1372.424104236421
Australia,6027.441357837124,1.8046992777212425,5003.594773065476
Morocco,146.98984077728798,2.7370558305375963,116.75879628317696
United Kingdom,8180.007450634728,2.60805503817751,4913.384858630952
