location,rmse,mase,mae
Mexico,16816.931154224643,0.48813998394562746,11757.293163792103
Sweden,10800.0155887164,0.37808112678559214,9106.426012031412
Argentina,9756.892270100665,0.3332813115758557,8027.381929538768
India,29790.826114090196,0.6978126414571068,16807.44882378907
Peru,18571.487547873137,0.7201692329948463,17345.92755836787
Italy,194128.85937755712,8.007118406787836,192858.69136318643
Malaysia,8537.884850309016,0.31154221715734304,7503.776171764417
Australia,121030.2979473471,5.001362564141546,120462.34239966908
Morocco,8978.141480086095,0.2740237243978355,6600.109328348705
United Kingdom,11070.053888542643,0.38425358439237334,9255.095238095239
