location,rmse,mase,mae
India,110661.19206588416,11.4095568061086,103736.23379336826
United Kingdom,22569.37008991844,0.9003097882215347,21684.775815314533
Peru,10045.143860033382,14.294705496557956,9826.588978490983
Italy,16947.931601668828,1.0127387103075862,14125.197274841494
Mexico,18964.887780996432,1.2297819980296207,18188.59287295314
Argentina,38431.309721331425,50.61932614603568,37584.849663431494
Sweden,7384.962734238153,9.837156954591515,7175.034908260869
Malaysia,8810.811000509006,2.3530185723660866,8039.480122250796
Morocco,4795.070936860069,49.06711071464395,4666.048576054475
Australia,27517.557022120956,1.8725460133578626,23866.312291108192
